Epoch,Loss,Accuracy,Precision 0,Precision 1,Recall 0,Recall 1,F1 0,F1 1
1,0.4354734718799591,0.8909552097320557,0.9054423006916636,0.32781456953642385,0.9483969368625084,0.20260936300844207,0.9264219756343602,0.25043478260869567
2,0.3724939823150635,0.8985629677772522,0.9145273147584865,0.43889776357827476,0.9553557243176257,0.2811460731644922,0.9344957806890763,0.3427413067207235
3,0.31194964051246643,0.9154691696166992,0.9280101472590025,0.5176701570680629,0.953163229639986,0.40470708621130724,0.9404185280978133,0.4542713567839196
4,0.2899499535560608,0.9357565641403198,0.9347685085091268,0.5984015984015985,0.9616790060690795,0.45970836531082115,0.9480328279664202,0.5199652777777778
5,0.2745414972305298,0.9366018772125244,0.9400921658986175,0.6081495098039216,0.959359410250707,0.5078025070350474,0.9496280686303804,0.5534643803150704
6,0.27815303206443787,0.9306846857070923,0.9425069810735339,0.6526984126984127,0.9652378380095962,0.5259657201330263,0.953736990000157,0.5825187703640742
7,0.26282796263694763,0.9340659379959106,0.9433539677108284,0.6458397772966286,0.9636172984652537,0.5341519570222564,0.9533779747870099,0.5847101652198263
8,0.2474726140499115,0.944209635257721,0.944470281834248,0.677326511032939,0.9679387372501668,0.5418265541059094,0.9560605109534869,0.6020466173962479
9,0.24514073133468628,0.9475908875465393,0.9454737299444497,0.6816598036110231,0.9680658383908995,0.5505244308007163,0.9566364178729552,0.6091140673648456
10,0.2312398999929428,0.9526627063751221,0.9472588264545002,0.6903870162297129,0.9684789170982809,0.5658736249680225,0.9577513472748126,0.6219597919302684
11,0.23336008191108704,0.9526627063751221,0.9482560843280111,0.7168,0.9718788726128818,0.5730365822460988,0.959922166776512,0.6369064543645153
12,0.23114022612571716,0.9509720802307129,0.9474485673441482,0.6926920674578388,0.9687331193797465,0.5674085443847532,0.9579726311489577,0.6238222472226128
13,0.22620511054992676,0.9492815136909485,0.9484341085271318,0.7175718849840256,0.9719106478980649,0.5745715016628293,0.9600288758807928,0.6381588293791732
14,0.2075207233428955,0.9543533325195312,0.9481828330439097,0.7145593869731801,0.971592895046233,0.5725249424405219,0.959745130965646,0.6357051555176821
15,0.23026758432388306,0.9577345848083496,0.9492503957537946,0.7189377173569396,0.971751771472149,0.5817344589409056,0.9603693003391535,0.6430995475113122
16,0.2111683040857315,0.9551986455917358,0.9506834878026099,0.7431869188842578,0.9745479965682692,0.5929905346635969,0.9624678340551057,0.659647125782584
17,0.2330256849527359,0.9526627063751221,0.9485830961514664,0.7352748691099477,0.9742937942868037,0.5748273215656178,0.961266556940199,0.6452261306532663
18,0.21499215066432953,0.9577345848083496,0.9512028558125097,0.738388625592417,0.9736900638683232,0.5978511128165771,0.9623151085010834,0.6607294317217981
19,0.2068026065826416,0.9611157774925232,0.9513893186459558,0.7635532331809275,0.9769946935273744,0.5981069327193655,0.9640220100644312,0.6707789413283604
20,0.20281212031841278,0.9577345848083496,0.9512187558146747,0.7453733248245055,0.9746433224238188,0.5975952929137887,0.9627885807555284,0.663353684509442
21,0.19805128872394562,0.9577345848083496,0.9510441841730185,0.7498390212491951,0.9753106034126656,0.5958045535942696,0.9630245509451721,0.6640057020669994
22,0.2281852662563324,0.9475908875465393,0.9522333467654444,0.7592176979801218,0.9761367608274284,0.6057815298030187,0.9640369045377518,0.6738759248719409
23,0.1814095824956894,0.9602705240249634,0.9524296833813998,0.7580593680178742,0.9759143338311461,0.6075722691225377,0.9640290027935591,0.6745242828741834
24,0.20226486027240753,0.9611157774925232,0.9525478398412058,0.7583678673892253,0.9759143338311461,0.6085955487336915,0.9640895250651348,0.6752767527675277
25,0.20615988969802856,0.956889271736145,0.9533577457795432,0.7623574144486692,0.9761685361126116,0.6155026861089793,0.9646283067744721,0.6811040339702761
26,0.20754070580005646,0.9585798978805542,0.9512753130313805,0.7686985172981878,0.9776937498014044,0.5968278332054234,0.9643036229158832,0.6719470046082949
27,0.2123110294342041,0.9509720802307129,0.9499321741275126,0.7761548913043478,0.9790600870642814,0.5845484778715784,0.9642762138732847,0.6668612286589813
28,0.20491036772727966,0.9526627063751221,0.9520425190037699,0.7809807819748178,0.978996536493915,0.6029675108723459,0.9653314116522802,0.6805254800057746
29,0.18851928412914276,0.9687235951423645,0.952984565796814,0.7681438664097624,0.9770582440977408,0.6119212074699412,0.9648712678663884,0.6811903744838388
30,0.20228704810142517,0.956889271736145,0.954755624515128,0.7768621236133122,0.9776301992310381,0.6270145817344589,0.9660575232353681,0.6939411098527746
31,0.20980221033096313,0.9543533325195312,0.951593496436615,0.788675429726997,0.9800768961901433,0.5986185725249424,0.9656251956671467,0.680628272251309
32,0.20097193121910095,0.9594252109527588,0.9529703738172793,0.7608903020667727,0.9761049855422452,0.6121770273727296,0.9643989577119895,0.67848029486816
33,0.18482708930969238,0.963651716709137,0.9531254828044372,0.7928405701027511,0.9801404467605097,0.6119212074699412,0.9664442146818311,0.6907305804215998
34,0.17787714302539825,0.9594252109527588,0.9532681356771479,0.7819426336375489,0.9787423342124496,0.6137119467894602,0.9658372920684196,0.6876881181023362
35,0.1879098266363144,0.956889271736145,0.9551637591794999,0.7924042484711941,0.9795049410568459,0.6298286006651318,0.9671812248995983,0.701824401368301
36,0.21845579147338867,0.9484362006187439,0.9538018218999814,0.7784932388924662,0.978138603793969,0.6185725249424405,0.9658169268177896,0.6893799002138274
37,0.19302938878536224,0.9577345848083496,0.9554582984138809,0.7821688270629149,0.9781068285087858,0.632898439498593,0.9666499183519658,0.6996606334841629
